timestamp,value,date,hour,weekday
2024-12-20 18:00:00+00:00,39.06,2024-12-20,18,4
2024-12-20 19:00:00+00:00,39.14,2024-12-20,19,4
2024-12-20 20:00:00+00:00,39.26,2024-12-20,20,4
2024-12-20 21:00:00+00:00,39.6,2024-12-20,21,4
2024-12-20 22:00:00+00:00,39.8,2024-12-20,22,4
2024-12-20 23:00:00+00:00,39.89,2024-12-20,23,4
2024-12-21 00:00:00+00:00,39.99,2024-12-21,0,5
2024-12-21 01:00:00+00:00,40.25,2024-12-21,1,5
2024-12-21 02:00:00+00:00,39.92,2024-12-21,2,5
2024-12-21 03:00:00+00:00,39.54,2024-12-21,3,5
2024-12-21 04:00:00+00:00,39.38,2024-12-21,4,5
2024-12-21 05:00:00+00:00,39.33,2024-12-21,5,5
2024-12-21 06:00:00+00:00,39.35,2024-12-21,6,5
2024-12-21 07:00:00+00:00,39.39,2024-12-21,7,5
2024-12-21 08:00:00+00:00,39.42,2024-12-21,8,5
2024-12-21 09:00:00+00:00,39.77,2024-12-21,9,5
2024-12-21 10:00:00+00:00,40.03,2024-12-21,10,5
2024-12-21 11:00:00+00:00,39.77,2024-12-21,11,5
2024-12-21 12:00:00+00:00,39.71,2024-12-21,12,5
2024-12-21 13:00:00+00:00,39.64,2024-12-21,13,5
2024-12-21 14:00:00+00:00,39.62,2024-12-21,14,5
2024-12-21 15:00:00+00:00,39.71,2024-12-21,15,5
2024-12-21 16:00:00+00:00,39.83,2024-12-21,16,5
2024-12-21 17:00:00+00:00,40.05,2024-12-21,17,5
2024-12-21 18:00:00+00:00,40.22,2024-12-21,18,5
2024-12-21 19:00:00+00:00,40.58,2024-12-21,19,5
2024-12-21 20:00:00+00:00,41.18,2024-12-21,20,5
2024-12-21 21:00:00+00:00,41.68,2024-12-21,21,5
2024-12-21 22:00:00+00:00,42.1,2024-12-21,22,5
2024-12-21 23:00:00+00:00,42.0,2024-12-21,23,5
2024-12-22 00:00:00+00:00,42.07,2024-12-22,0,6
2024-12-22 01:00:00+00:00,42.39,2024-12-22,1,6
2024-12-22 02:00:00+00:00,42.58,2024-12-22,2,6
2024-12-22 03:00:00+00:00,42.61,2024-12-22,3,6
2024-12-22 04:00:00+00:00,42.66,2024-12-22,4,6
2024-12-22 05:00:00+00:00,42.66,2024-12-22,5,6
2024-12-22 06:00:00+00:00,42.66,2024-12-22,6,6
